# f_hz  Omega_gw
2.510984770047587285e-10 4.181797875014706774e-09
2.655881943040864196e-10 4.443038361818557536e-09
2.809140453383478297e-10 4.704631683477991888e-09
2.971242794700588236e-10 4.967284975381803584e-09
3.142699303065073711e-10 5.233310868733149672e-09
3.324049763654847264e-10 5.507086852811637033e-09
3.515865110122851118e-10 5.795468475346233791e-09
3.718749222029593765e-10 6.108079726456532068e-09
3.933340825997317334e-10 6.457377931776785992e-09
4.160315506570632552e-10 6.858386612034996580e-09
4.400387833114753138e-10 7.327983100421153959e-09
4.654313609446804542e-10 7.883655800501318553e-09
4.922892253283101812e-10 8.541704461496892918e-09
5.206969312992888233e-10 9.314936949051051734e-09
5.507439129582463846e-10 1.021004696511653480e-08
5.825247652289645237e-10 1.122496389272050753e-08
6.161395416653199438e-10 1.234659528267321118e-08
6.516940694432747589e-10 1.354945816073827414e-08
6.893002825295526352e-10 1.479564136054447122e-08
7.290765740759591983e-10 1.603643410724236980e-08
7.711481691486843100e-10 1.721565565417915173e-08
8.156475189661139693e-10 1.827443939458270135e-08
8.627147178862100967e-10 1.915683002319326375e-08
9.124979444563319741e-10 1.981535831603807501e-08
9.651539279139272712e-10 2.021565496344717299e-08
1.020848441606825559e-09 2.033939638473360919e-08
1.079756824886513118e-09 2.018517221159313851e-08
1.142064535117378503e-09 1.976734594002557280e-08
1.207967731539893425e-09 1.911332712188930388e-08
1.277673892825731229e-09 1.825990141273745421e-08
1.351402470269175891e-09 1.724927901047560130e-08
1.429385578671067676e-09 1.612538764016499039e-08
1.511868727090511103e-09 1.493075622761631632e-08
1.599111591764752740e-09 1.370416007205717012e-08
1.691388833630740189e-09 1.247907102440356010e-08
1.788990963021929603e-09 1.128286092573686732e-08
1.892225254262758577e-09 1.013664484527036174e-08
2.001416713040090508e-09 9.055608605754481579e-09
2.116909099597053860e-09 8.049655284277123224e-09
2.239066010970731617e-09 7.124220051952635573e-09
2.368272025680577693e-09 6.281134362670013064e-09
2.504933914471593013e-09 5.519457300215775700e-09
2.649481920923664311e-09 4.836223329335160842e-09
2.802371115959029289e-09 4.227081272390323997e-09
2.964082830511862627e-09 3.686816908777132144e-09
3.135126170870689287e-09 3.209763573723684913e-09
3.316039621463937238e-09 2.790112255219137318e-09
3.507392740134855698e-09 2.422136067847654685e-09
3.709787951242828153e-09 2.100344838914522997e-09
3.923862442236008416e-09 1.819584527798267880e-09
4.150290169666518288e-09 1.575094432867391063e-09
4.389783980963121191e-09 1.362533036396662643e-09
4.643097858641748965e-09 1.177981363132806527e-09
4.911029294018605221e-09 1.017930887105579494e-09
5.194421797899455580e-09 8.792614418506292905e-10
5.494167556148704712e-09 7.592132364026264295e-10
5.811210238499280200e-09 6.553559812051264447e-10
6.146547969445444770e-09 5.655572453814377853e-10
6.501236470572142188e-09 4.879514688111729099e-10
6.876392384213483842e-09 4.209105264301992693e-10
7.273196788903711105e-09 3.630163597928406510e-10
